276726,0155061224,5
276729,052165615,3
276729,0521795028,6
276736,3257224281,8
276737,0600570967,6
276744,038550120,7
276745,342310538,10
276747,0060517794,9
276747,0671537458,9
276747,0679776818,8
276747,0943066433,7
276747,1885408226,7
276748,0747558167,6
276751,3596218098,8
276754,0684867621,8
276755,0451166892,5
276760,8440682697,10
276762,0380711524,5
276762,3453092007,8
276762,3453213025,3
276762,3453124715,4
276768,9057868059,4
276772,0553572369,7
276772,3499230933,10
276772,3596151465,10
276774,3442136644,9
276780,8484330478,7
276780,8484332039,7
276786,2864322102,6
276786,8437606322,8
276786,8466300821,6
276786,8478442588,6
276788,0345443683,8
276788,043935806,7
276788,055310666,10
276796,0330332775,5
276798,0006379702,5
276798,3442131340,7
276798,3548603203,6
276800,1562827898,7
276804,0440498058,8
276808,0395547032,10
276811,0440414121,10
276812,8879839993,8
276813,8423996565,8
276813,8426449476,8
276813,8426449573,6
276813,8478884831,8
276813,8478885218,6
276813,8478885463,6
276813,8478886044,8
276814,0091830893,8
276814,0586207414,7
276814,0812571029,9
276820,0140260498,9
276822,0060096195,10
276822,0141310340,9
276822,0142302198,10
276822,0156006065,9
276822,0375821813,9
276822,038076041,10
276822,0439401399,6
276822,0552546933,9
276822,0689804458,8
276822,0699854289,10
276822,0786812508,9
276822,0786817070,10
276822,0805057706,10
276822,1551925060,8
276822,1573248533,10
276827,000651118,7
276828,2253150711,7
276830,0440225825,9
276832,0345446860,5
276835,3125785006,10
276837,0380005239,5
276842,3809407536,7
276847,3257200552,5
276847,3404145909,8
276847,3404148576,8
276847,3404921178,7
276847,3423071516,10
276847,3426029553,8
276847,3426671298,8
276847,344215121,9
276847,3442413508,10
276847,3442422035,9
276847,3442435773,8
276847,3442437717,7
276847,3442441080,10
276847,3442444020,8
276847,3442446414,10
276847,3442448530,7
276847,3442449820,9
276847,3453137442,6
276847,347354034,7
276847,3492231322,9
276847,3499222213,7
276847,3499228297,6
276847,3499433443,8
276847,3506464078,10
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,359621078,9
276847,3608932240,7
276847,360893541,10
276847,3608935428,10
276847,3608935436,10
276847,3809024589,8
276847,3821815191,10
276847,3932069234,5
276848,3462026062,8
276850,0449217264,7
276853,8420457477,1
276853,8448034023,7
276854,0671034944,5
276854,074931012,5
276857,8439598459,6
276859,0140252517,6
276859,0517642689,7
276859,077104450,8
276859,0789706032,8
276859,0836218833,10
276859,0836220889,10
276859,088365721,9
